央视频道,#genre#
CCTV11,http://113.195.8.230:9901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://113.195.8.230:9901/tsfile/live/0013_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://113.195.8.230:9901/tsfile/live/0015_2.m3u8?key=txiptv&playlive=0&authid=0
卫视频道,#genre#
东方卫视,http://113.195.8.230:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://113.195.8.230:9901/tsfile/live/0130_2.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://113.195.8.230:9901/tsfile/live/0131_2.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://113.195.8.230:9901/tsfile/live/0125_2.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://113.195.8.230:9901/tsfile/live/0113_2.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://113.195.8.230:9901/tsfile/live/0124_2.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://113.195.8.230:9901/tsfile/live/0121_2.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://113.195.8.230:9901/tsfile/live/0142_2.m3u8?key=txiptv&playlive=0&authid=0
其他频道,#genre#
